"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.4","52.222.158.74","TCP","54","52592  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"2","0.000078214","10.0.2.4","52.222.158.74","TCP","54","52604  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"3","0.000116817","10.0.2.4","52.222.158.74","TCP","54","52596  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"4","0.000543290","52.222.158.74","10.0.2.4","TCP","60","[TCP ACKed unseen segment] 443  >  52592 [ACK] Seq=1 Ack=2 Win=32054 Len=0"
"5","0.000543671","52.222.158.74","10.0.2.4","TCP","60","[TCP ACKed unseen segment] 443  >  52604 [ACK] Seq=1 Ack=2 Win=31340 Len=0"
"6","0.000543971","52.222.158.74","10.0.2.4","TCP","60","[TCP ACKed unseen segment] 443  >  52596 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"7","0.511609606","10.0.2.4","52.222.158.74","TCP","54","52600  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"8","0.512315943","52.222.158.74","10.0.2.4","TCP","60","[TCP ACKed unseen segment] 443  >  52600 [ACK] Seq=1 Ack=2 Win=32768 Len=0"
"9","1.279705258","10.0.2.4","52.222.158.74","TCP","54","52606  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"10","1.279744353","10.0.2.4","52.222.158.74","TCP","54","52602  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"11","1.279762897","10.0.2.4","52.222.158.74","TCP","54","52598  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"12","1.279910741","52.222.158.74","10.0.2.4","TCP","60","[TCP ACKed unseen segment] 443  >  52606 [ACK] Seq=1 Ack=2 Win=32411 Len=0"
"13","1.279910865","52.222.158.74","10.0.2.4","TCP","60","[TCP ACKed unseen segment] 443  >  52602 [ACK] Seq=1 Ack=2 Win=32411 Len=0"
